species,Linf,a,b,w_inf,L_mat,w_mat,k_vb,alpha,beta,sigma,f0,z0pre,p,q,n,avail_PP,avail_BB,avail_AA,w_min,r_max,h,ks,z0,gamma,erepro,meanAb,meanBio,scaledAb,scaledBio
Notolabrus,50,0.006,3.2,1600,25,180,0.16,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.3,0.7,0,0.042137431,0.014768819,53.65225768,3.16227766,0.05,1318.170619,0.042825266,2.21,454.61,0.022138126,0.149112895
L_forsteri,68.2,0.055,2.713,5193,34,792,0.24,0.6,1500,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.8,0,0.049687806,0.001936955,64.01514783,2.356000699,0.05,880.2176154,0.056208848,3.37,2184.77,0.03372549,0.716604253
T_caudimaculatus,16.5,0.0097,2.964,39,10,9,0.45,0.6,500,1.5,0.6,0.6,0.8,0.75,0.75,1,0,0,0.025051879,0.018343949,30.73475074,4.5,0.05,652.6963333,0.061120252,60,363.42,0.6,0.119201078
C_rasor,27.5,0.0978,2.643,623,17,161,0.4,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,1,0,0,0.036924922,0.005163588,46.57396488,4.003206415,0.05,922.822736,0.01118686,10.73,745.12,0.107253521,0.244400173
D_lewini,55,0.0154,2.773,1032,33,250,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.3,0,0.039628389,0.006012241,50.23679898,3.528662087,0.05,2899.910953,0.080178132,16.87,1061.99,0.168734177,0.348330838
leather_cool,44,0.0556,2.877,2974,24,500,0.4,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.3,0.6,0.1,0.045957775,0.001565288,58.88045386,2.708287434,0.05,1446.621031,0.005750103,2.89,558.31,0.028879816,0.183124524
C_spectabilis,96.25,0.016,2.989,13568,58,2947,0.2,0.6,2500,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.8,0,0.056838614,2.30E-05,73.93454075,1.853109306,0.05,994.1649689,0.004305252,1.27,1506.96,0.012706186,0.494282807
C_laticeps,165,0.0017,3.145,16012,83,1810,0.2,0.6,1500,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,1,3.53E-07,75.79435151,1.777946139,0.05,1609.601318,0.003347232,1.06,3048.79,0.010588235,1
P_laticlavius,33,0.0134,2.939,389,17,51,0.3,0.6,250,1.5,0.6,0.6,0.8,0.75,0.75,0.3,0.7,0,0.034568792,0.141223429,43.39727344,4.503421484,0.05,987.8041908,0.05697529,1.85,213.15,0.018476821,0.069914472
Boarfish,55,0.01355,2.993,2192,28,275,0.35,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.3,0.7,0,0.044036109,0.000243717,56.24657559,2.922939715,0.05,1147.006024,0.037867986,1.07,861.64,0.010731707,0.28261648
M_freycineti,50,0.0556,2.877,4300,30,1012,0.18,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0.1,0.048392365,0.000384005,62.2286347,2.46980623,0.05,1150.434655,0.0197638,1.2,1001.6,0.012,0.328523413
P_bachus,55,0.0088,3.008,1512,33,325,0.42,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.3,0,0.041805027,0.000410533,53.19891477,3.207318194,0.05,3070.8986,0.019539475,1.16,347.46,0.011630435,0.113967972
O_cyanomelas,68.75,0.0134,2.939,3364,34,439,0.25,0.2,100,3,0.6,0.6,0.8,0.75,0.75,0.3,0,0.7,0.04675748,9.34E-05,179.936661,2.626128657,0.05,2247.511671,0.003076297,1.27,260.8,0.012653061,0.085542669
A_arctidens,70,0.0053,3.207,4400,41,803,0.2,0.2,100,3,0.6,0.6,0.8,0.75,0.75,0.3,0,0.7,0.048548368,2.77E-05,187.3307882,2.45565203,0.05,2339.868545,0.00200233,1.13,953.66,0.01125,0.312799612
predator,80,0.0154,2.773,2916,30,192,0.2,0.6,75,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.3,0,0.04583123,0.000142989,58.70676267,2.72165527,0.05,3634.714274,0.003560336,0.5,1000,0.005,0.327999379
urchins,,0.01,3,800,,100,0.3,0.2,10,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0,0.8,0.05,0.002839945,150,2.5,0.05,2000,0.0655,100,1148.48,1,0.376702043
lobsters,20,0.00278,3.12,3000,9,400,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.3,0,0.05,0.000901844,56,2.5,0.05,2500,0.02,6.69,2007.83,0.066927763,0.658567944
