"","Cod","Herring","Sprat"
"1",0.792,0.1845,0.33
"2",0.792,0.1845,0.33
"3",0.792,0.1845,0.33
"4",0.792,0.1845,0.33
"5",0.792,0.1845,0.33
"6",0.792,0.1845,0.33
"7",0.792,0.1845,0.33
"8",0.792,0.1845,0.33
"9",0.792,0.1845,0.33
"10",0.792,0.1845,0.33
"11",0.792,0.1845,0.33
"12",0.792,0.1845,0.33
"13",0.792,0.1845,0.33
"14",0.792,0.1845,0.33
"15",0.792,0.1845,0.33
"16",0.792,0.1845,0.33
"17",0.792,0.1845,0.33
"18",0.792,0.1845,0.33
"19",0.792,0.1845,0.33
"20",0.792,0.1845,0.33
"21",0.792,0.1845,0.33
"22",0.792,0.1845,0.33
"23",0.792,0.1845,0.33
"24",0.792,0.1845,0.33
"25",0.792,0.1845,0.33
"26",0.792,0.1845,0.33
"27",0.792,0.1845,0.33
"28",0.792,0.1845,0.33
"29",0.792,0.1845,0.33
"30",0.792,0.1845,0.33
"31",0.792,0.1845,0.33
"32",0.792,0.1845,0.33
"33",0.792,0.1845,0.33
"34",0.792,0.1845,0.33
"35",0.792,0.1845,0.33
"36",0.792,0.1845,0.33
"37",0.792,0.1845,0.33
"38",0.792,0.1845,0.33
"39",0.792,0.1845,0.33
"40",0.792,0.1845,0.33
"41",0.792,0.1845,0.33
"42",0.792,0.1845,0.33
"43",0.792,0.1845,0.33
"44",0.792,0.1845,0.33
"45",0.792,0.1845,0.33
"46",0.792,0.1845,0.33
"47",0.792,0.1845,0.33
"48",0.792,0.1845,0.33
"49",0.792,0.1845,0.33
"50",0.792,0.1845,0.33
"51",0.792,0.1845,0.33
"52",0.792,0.1845,0.33
"53",0.792,0.1845,0.33
"54",0.792,0.1845,0.33
"55",0.792,0.1845,0.33
"56",0.792,0.1845,0.33
"57",0.792,0.1845,0.33
"58",0.792,0.1845,0.33
"59",0.792,0.1845,0.33
"60",0.792,0.1845,0.33
"61",0.792,0.1845,0.33
"62",0.792,0.1845,0.33
"63",0.792,0.1845,0.33
"64",0.792,0.1845,0.33
"65",0.792,0.1845,0.33
"66",0.792,0.1845,0.33
"67",0.792,0.1845,0.33
"68",0.792,0.1845,0.33
"69",0.792,0.1845,0.33
"70",0.792,0.1845,0.33
"71",0.792,0.1845,0.33
"72",0.792,0.1845,0.33
"73",0.792,0.1845,0.33
"74",0.792,0.1845,0.33
"75",0.792,0.1845,0.33
"76",0.792,0.1845,0.33
"77",0.792,0.1845,0.33
"78",0.792,0.1845,0.33
"79",0.792,0.1845,0.33
"80",0.792,0.1845,0.33
"81",0.792,0.1845,0.33
"82",0.792,0.1845,0.33
"83",0.792,0.1845,0.33
"84",0.792,0.1845,0.33
"85",0.792,0.1845,0.33
"86",0.792,0.1845,0.33
"87",0.792,0.1845,0.33
"88",0.792,0.1845,0.33
"89",0.792,0.1845,0.33
"90",0.792,0.1845,0.33
"91",0.792,0.1845,0.33
"92",0.792,0.1845,0.33
"93",0.792,0.1845,0.33
"94",0.792,0.1845,0.33
"95",0.792,0.1845,0.33
"96",0.792,0.1845,0.33
"97",0.792,0.1845,0.33
"98",0.792,0.1845,0.33
"99",0.792,0.1845,0.33
"100",0.792,0.1845,0.33
"101",0.792,0.1845,0.33
"102",0.732,0.2004,0.35
"103",0.842,0.1935,0.32
"104",0.823,0.1888,0.28
"105",0.616,0.1645,0.27
"106",0.597,0.1955,0.2
"107",0.7,0.1873,0.21
"108",0.788,0.203,0.13
"109",0.795,0.1741,0.23
"110",0.744,0.2244,0.11
"111",0.839,0.2239,0.16
"112",0.829,0.23,0.16
"113",0.998,0.2026,0.2
"114",0.938,0.2311,0.26
"115",0.888,0.2194,0.23
"116",1.035,0.291,0.21
"117",1.199,0.2764,0.13
"118",1.348,0.2856,0.17
"119",1.01,0.2553,0.2
"120",0.553,0.2895,0.16
"121",0.61,0.3499,0.26
"122",0.767,0.3294,0.34
"123",0.909,0.3318,0.28
"124",1.013,0.3662,0.39
"125",0.964,0.3809,0.39
"126",0.924,0.3207,0.37
"127",0.994,0.436,0.31
"128",1.061,0.366,0.29
"129",1.081,0.3145,0.38
"130",1.063,0.2404,0.41
"131",1.224,0.2008,0.49
"132",1.003,0.1785,0.45
"133",0.906,0.1922,0.37
"134",0.771,0.1956,0.35
"135",0.552,0.1995,0.36
"136",0.468,0.179,0.44
"137",0.422,0.2065,0.34
"138",0.392,0.1537,0.3
"139",0.373,0.1129,0.29
"140",0.28,0.26,0.32
"141",0.28,0.26,0.32
"142",0.28,0.26,0.32
"143",0.28,0.26,0.32
"144",0.28,0.26,0.32
"145",0.28,0.26,0.32
"146",0.28,0.26,0.32
"147",0.28,0.26,0.32
"148",0.28,0.26,0.32
"149",0.28,0.26,0.32
"150",0.28,0.26,0.32
"151",0.28,0.26,0.32
"152",0.28,0.26,0.32
"153",0.28,0.26,0.32
"154",0.28,0.26,0.32
"155",0.28,0.26,0.32
"156",0.28,0.26,0.32
"157",0.28,0.26,0.32
"158",0.28,0.26,0.32
"159",0.28,0.26,0.32
"160",0.28,0.26,0.32
"161",0.28,0.26,0.32
"162",0.28,0.26,0.32
"163",0.28,0.26,0.32
"164",0.28,0.26,0.32
"165",0.28,0.26,0.32
"166",0.28,0.26,0.32
"167",0.28,0.26,0.32
"168",0.28,0.26,0.32
"169",0.28,0.26,0.32
"170",0.28,0.26,0.32
"171",0.28,0.26,0.32
"172",0.28,0.26,0.32
"173",0.28,0.26,0.32
"174",0.28,0.26,0.32
"175",0.28,0.26,0.32
"176",0.28,0.26,0.32
"177",0.28,0.26,0.32
